;times;auc;iauc;model;fold
43;57;0.814966987;0.729675509;rsf;1
44;64;0.812778155;0.729675509;rsf;1
45;71;0.810905972;0.729675509;rsf;1
0;1;0.978483607;0.760793446;rsf;2
1;2;0.916029427;0.760793446;rsf;2
2;3;0.860904605;0.760793446;rsf;2
3;4;0.785004122;0.760793446;rsf;2
4;5;0.773069767;0.760793446;rsf;2
5;6;0.773220718;0.760793446;rsf;2
6;7;0.795862369;0.760793446;rsf;2
7;8;0.780275847;0.760793446;rsf;2
8;9;0.796698352;0.760793446;rsf;2
9;10;0.801711874;0.760793446;rsf;2
10;11;0.790828893;0.760793446;rsf;2
11;12;0.773252294;0.760793446;rsf;2
12;13;0.784292758;0.760793446;rsf;2
13;14;0.797777571;0.760793446;rsf;2
14;15;0.790769682;0.760793446;rsf;2
15;16;0.78373254;0.760793446;rsf;2
16;17;0.773910554;0.760793446;rsf;2
17;18;0.774822245;0.760793446;rsf;2
18;19;0.767285306;0.760793446;rsf;2
19;20;0.766609753;0.760793446;rsf;2
20;21;0.767690468;0.760793446;rsf;2
21;22;0.76682653;0.760793446;rsf;2
22;23;0.77087021;0.760793446;rsf;2
23;24;0.78979606;0.760793446;rsf;2
24;25;0.783494878;0.760793446;rsf;2
25;26;0.773062242;0.760793446;rsf;2
26;27;0.768559729;0.760793446;rsf;2
27;28;0.76987052;0.760793446;rsf;2
28;29;0.7641224;0.760793446;rsf;2
29;30;0.761991108;0.760793446;rsf;2
30;31;0.76612786;0.760793446;rsf;2
31;33;0.771213086;0.760793446;rsf;2
32;34;0.757013176;0.760793446;rsf;2
33;35;0.75413852;0.760793446;rsf;2
34;36;0.783796758;0.760793446;rsf;2
35;37;0.783237674;0.760793446;rsf;2
36;38;0.798185498;0.760793446;rsf;2
37;39;0.785959622;0.760793446;rsf;2
38;40;0.789165875;0.760793446;rsf;2
39;41;0.8057952;0.760793446;rsf;2
40;43;0.787724011;0.760793446;rsf;2
41;50;0.782820345;0.760793446;rsf;2
42;57;0.780346128;0.760793446;rsf;2
43;64;0.687040223;0.760793446;rsf;2
0;1;0.794879966;0.830600686;rsf;3
1;2;0.772358951;0.830600686;rsf;3
2;3;0.767167514;0.830600686;rsf;3
3;4;0.788859674;0.830600686;rsf;3
4;5;0.768632024;0.830600686;rsf;3
5;6;0.780550305;0.830600686;rsf;3
6;7;0.801149374;0.830600686;rsf;3
7;8;0.80953402;0.830600686;rsf;3
8;9;0.802269742;0.830600686;rsf;3
9;10;0.800859378;0.830600686;rsf;3
10;11;0.828357373;0.830600686;rsf;3
11;12;0.82735267;0.830600686;rsf;3
12;13;0.83752946;0.830600686;rsf;3
13;14;0.845422961;0.830600686;rsf;3
14;15;0.832680895;0.830600686;rsf;3
15;16;0.839283513;0.830600686;rsf;3
16;17;0.842875181;0.830600686;rsf;3
17;18;0.838980314;0.830600686;rsf;3
18;19;0.835975658;0.830600686;rsf;3
19;20;0.847385902;0.830600686;rsf;3
20;21;0.845973585;0.830600686;rsf;3
21;22;0.841820784;0.830600686;rsf;3
22;23;0.850899193;0.830600686;rsf;3
23;24;0.835962838;0.830600686;rsf;3
24;25;0.820744027;0.830600686;rsf;3
25;26;0.837621966;0.830600686;rsf;3
26;27;0.832337634;0.830600686;rsf;3
27;28;0.831345582;0.830600686;rsf;3
28;29;0.820709801;0.830600686;rsf;3
29;30;0.816466965;0.830600686;rsf;3
30;31;0.804400378;0.830600686;rsf;3
31;32;0.799216873;0.830600686;rsf;3
32;33;0.787998299;0.830600686;rsf;3
33;34;0.805632489;0.830600686;rsf;3
34;35;0.802044108;0.830600686;rsf;3
35;36;0.789467172;0.830600686;rsf;3
36;38;0.79288541;0.830600686;rsf;3
37;39;0.778260478;0.830600686;rsf;3
38;40;0.831474145;0.830600686;rsf;3
39;41;0.835235159;0.830600686;rsf;3
40;43;0.839195333;0.830600686;rsf;3
41;50;0.855186591;0.830600686;rsf;3
42;57;0.797512129;0.830600686;rsf;3
43;64;0.776452678;0.830600686;rsf;3
44;71;0.734571545;0.830600686;rsf;3
0;1;0.672828096;0.582140504;rsf;4
1;2;0.772213684;0.582140504;rsf;4
2;3;0.627433249;0.582140504;rsf;4
3;4;0.661557906;0.582140504;rsf;4
4;5;0.60973378;0.582140504;rsf;4
5;6;0.619992763;0.582140504;rsf;4
6;7;0.611058841;0.582140504;rsf;4
7;8;0.615402025;0.582140504;rsf;4
8;9;0.625199388;0.582140504;rsf;4
9;10;0.621872247;0.582140504;rsf;4
10;11;0.627162388;0.582140504;rsf;4
11;12;0.640506662;0.582140504;rsf;4
12;13;0.647925436;0.582140504;rsf;4
13;14;0.690442776;0.582140504;rsf;4
14;15;0.697046771;0.582140504;rsf;4
15;16;0.677211417;0.582140504;rsf;4
16;17;0.672379023;0.582140504;rsf;4
17;18;0.662321529;0.582140504;rsf;4
18;19;0.66709246;0.582140504;rsf;4
19;20;0.682822153;0.582140504;rsf;4
20;21;0.690155525;0.582140504;rsf;4
21;22;0.671803576;0.582140504;rsf;4
22;23;0.6628032;0.582140504;rsf;4
23;24;0.659798102;0.582140504;rsf;4
24;25;0.663303159;0.582140504;rsf;4
25;26;0.646005347;0.582140504;rsf;4
26;27;0.633757953;0.582140504;rsf;4
27;28;0.630497316;0.582140504;rsf;4
28;29;0.625317784;0.582140504;rsf;4
29;30;0.63561432;0.582140504;rsf;4
30;31;0.630756165;0.582140504;rsf;4
31;32;0.616352109;0.582140504;rsf;4
32;33;0.607111287;0.582140504;rsf;4
33;34;0.606690823;0.582140504;rsf;4
34;35;0.599567751;0.582140504;rsf;4
35;36;0.611960119;0.582140504;rsf;4
36;37;0.608358444;0.582140504;rsf;4
37;38;0.586920528;0.582140504;rsf;4
38;39;0.602173627;0.582140504;rsf;4
39;40;0.606588339;0.582140504;rsf;4
40;41;0.603221944;0.582140504;rsf;4
41;43;0.456885374;0.582140504;rsf;4
42;50;0.444541565;0.582140504;rsf;4
43;57;0.558136146;0.582140504;rsf;4
